name,link,size
Inuyasha - Kagome no Sengoku Nikki (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Inuyasha%20-%20Kagome%20no%20Sengoku%20Nikki%20%28Japan%29.wsc,2.00 MB
Inuyasha - Kagome no Yume Nikki (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Inuyasha%20-%20Kagome%20no%20Yume%20Nikki%20%28Japan%29.wsc,4.00 MB
Judgement Silversword - Rebirth Edition (Japan) (Rev 4321).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Judgement%20Silversword%20-%20Rebirth%20Edition%20%28Japan%29%20%28Rev%204321%29.wsc,2.00 MB
Judgement Silversword - Rebirth Edition (Japan) (Rev 5C21).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Judgement%20Silversword%20-%20Rebirth%20Edition%20%28Japan%29%20%28Rev%205C21%29.wsc,2.00 MB
Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kidou%20Senshi%20Gundam%20-%20Giren%20no%20Yabou%20-%20Tokubetsu%20Hen%20-%20Aoki%20Hoshi%20no%20Hasha%20%28Japan%29.wsc,4.00 MB
Kidou Senshi Gundam Seed (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kidou%20Senshi%20Gundam%20Seed%20%28Japan%29.wsc,4.00 MB
Kidou Senshi Gundam Vol. 1 - Side 7 (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kidou%20Senshi%20Gundam%20Vol.%201%20-%20Side%207%20%28Japan%29.wsc,4.00 MB
Kidou Senshi Gundam Vol. 2 - Jaburo (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kidou%20Senshi%20Gundam%20Vol.%202%20-%20Jaburo%20%28Japan%29.wsc,8.00 MB
Kidou Senshi Gundam Vol. 3 - A Baoa Qu (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kidou%20Senshi%20Gundam%20Vol.%203%20-%20A%20Baoa%20Qu%20%28Japan%29.wsc,8.00 MB
Kinnikuman II-Sei - Choujin Seisenshi (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kinnikuman%20II-Sei%20-%20Choujin%20Seisenshi%20%28Japan%29.wsc,4.00 MB
Kinnikuman II-Sei - Dream Tag Match (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kinnikuman%20II-Sei%20-%20Dream%20Tag%20Match%20%28Japan%29.wsc,2.00 MB
Kurupara! (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Kurupara%21%20%28Japan%29%20%28Rev%201%29.wsc,2.00 MB
Last Alive (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Last%20Alive%20%28Japan%29.wsc,4.00 MB
Makai Toushi Sa-Ga (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Makai%20Toushi%20Sa-Ga%20%28Japan%29.wsc,4.00 MB
