manifest_path,mnemonic,rom_path
3ds/Bikkuriman Kanjuku Haou - Sanmi Douran Sensouki (Japan).3ds,3ds,Bikkuriman Kanjuku Haou - Sanmi Douran Sensouki (Japan).3ds
3ds/Biohazard - Revelations (Japan) (Rev 1).3ds,3ds,Biohazard - Revelations (Japan) (Rev 1).3ds
3ds/Biohazard - The Mercenaries 3D (Japan) (Rev 1).3ds,3ds,Biohazard - The Mercenaries 3D (Japan) (Rev 1).3ds
3ds/Bit.Trip Saga (Europe).3ds,3ds,Bit.Trip Saga (Europe).3ds
3ds/Biyoushi Debut Monogatari - Top Sutairisuto o Mezasou! (Japan).3ds,3ds,Biyoushi Debut Monogatari - Top Sutairisuto o Mezasou! (Japan).3ds
"3ds/Blazblue - Continuum Shift II (Europe) (En,Ja,Zh,Ko).3ds",3ds,"Blazblue - Continuum Shift II (Europe) (En,Ja,Zh,Ko).3ds"
3ds/Boku no Hero Academia - Battle for All (Japan).3ds,3ds,Boku no Hero Academia - Battle for All (Japan).3ds
3ds/Boku wa Koukuu Kanseikan - Airport Hero 3D - Haneda All Stars (Japan).3ds,3ds,Boku wa Koukuu Kanseikan - Airport Hero 3D - Haneda All Stars (Japan).3ds
3ds/Boku wa Koukuu Kanseikan - Airport Hero 3D - Honolulu (Japan).3ds,3ds,Boku wa Koukuu Kanseikan - Airport Hero 3D - Honolulu (Japan).3ds
3ds/Boku wa Koukuu Kanseikan - Airport Hero 3D - Naha Premium (Japan).3ds,3ds,Boku wa Koukuu Kanseikan - Airport Hero 3D - Naha Premium (Japan).3ds
3ds/Boku wa Koukuu Kanseikan - Airport Hero 3D - Shin Chitose with JAL (Japan).3ds,3ds,Boku wa Koukuu Kanseikan - Airport Hero 3D - Shin Chitose with JAL (Japan).3ds
3ds/Bokujou Monogatari - 3-tsu no Sato no Taisetsu na Tomodachi (Japan).3ds,3ds,Bokujou Monogatari - 3-tsu no Sato no Taisetsu na Tomodachi (Japan).3ds
3ds/Bokujou Monogatari - Futago no Mura + (Japan).3ds,3ds,Bokujou Monogatari - Futago no Mura + (Japan).3ds
3ds/Bokujou Monogatari - Hajimari no Daichi (Japan) (Rev 1).3ds,3ds,Bokujou Monogatari - Hajimari no Daichi (Japan) (Rev 1).3ds
3ds/Bokujou Monogatari - Tsunagaru Shin Tenchi (Japan).3ds,3ds,Bokujou Monogatari - Tsunagaru Shin Tenchi (Japan).3ds
3ds/Bonbonribbon - Tokimeki Coord Kirakira Dance (Japan).3ds,3ds,Bonbonribbon - Tokimeki Coord Kirakira Dance (Japan).3ds
"3ds/Boulder Dash-XL 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Boulder Dash-XL 3D (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Bowling Bonanza 3D (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Bowling Bonanza 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Brain Age - Concentration Training (USA) (En,Fr,Es).3ds",3ds,"Brain Age - Concentration Training (USA) (En,Fr,Es).3ds"
"3ds/Brain Training 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Brain Training 3D (Europe) (En,Fr,De,Es,It).3ds"
3ds/Bratz - Fashion Boutique (USA).3ds,3ds,Bratz - Fashion Boutique (USA).3ds
"3ds/Bravely Default (Europe) (En,Ja,Fr,De,Es,It).3ds",3ds,"Bravely Default (Europe) (En,Ja,Fr,De,Es,It).3ds"
3ds/Bravely Default - Flying Fairy (Japan).3ds,3ds,Bravely Default - Flying Fairy (Japan).3ds
3ds/Bravely Default - For the Sequel (Japan).3ds,3ds,Bravely Default - For the Sequel (Japan).3ds
"3ds/Bravely Second - End Layer (Europe) (En,Fr,De,Es,It).3ds",3ds,"Bravely Second - End Layer (Europe) (En,Fr,De,Es,It).3ds"
3ds/Brunswick Pro Bowling (USA).3ds,3ds,Brunswick Pro Bowling (USA).3ds
"3ds/Bust-A-Move Universe (USA) (En,Fr,Es).3ds",3ds,"Bust-A-Move Universe (USA) (En,Fr,Es).3ds"
3ds/Cake-ya San Monogatari - Oishii Sweets o Tsukurou! (Japan).3ds,3ds,Cake-ya San Monogatari - Oishii Sweets o Tsukurou! (Japan).3ds
"3ds/Candy Match 3 (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Candy Match 3 (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Captain America - Super Soldier (Europe) (En,Fr,De,Es,It).3ds",3ds,"Captain America - Super Soldier (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Captain Toad - Treasure Tracker (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Captain Toad - Treasure Tracker (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/CardFight!! Vanguard G - Stride to Victory!! (Japan).3ds,3ds,CardFight!! Vanguard G - Stride to Victory!! (Japan).3ds
"3ds/Carnival Games - Wild West 3D (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Carnival Games - Wild West 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
