name;link
Batten Tanuki no Daibouken (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Batten%20Tanuki%20no%20Daibouken%20%28Japan%29%20%28Alt%201%29.rom?download=true
Batten Tanuki no Daibouken (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Batten%20Tanuki%20no%20Daibouken%20%28Japan%29%20%28Alt%202%29.rom?download=true
Batten Tanuki no Daibouken (Japan) (v1.03).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Batten%20Tanuki%20no%20Daibouken%20%28Japan%29%20%28v1.03%29.rom?download=true
Battle Cross (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Battle%20Cross%20%28Japan%29.rom?download=true
Battleship Clapton II (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Battleship%20Clapton%20II%20%28Japan%29%20%28Alt%201%29.rom?download=true
Battleship Clapton II (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Battleship%20Clapton%20II%20%28Japan%29.rom?download=true
Beach-Head (Europe).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Beach-Head%20%28Europe%29.rom?download=true
Beam Rider (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Beam%20Rider%20%28Japan%29%20%28Alt%201%29.rom?download=true
Beam Rider (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Beam%20Rider%20%28Japan%29.rom?download=true
Becky (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Becky%20%28Japan%29%20%28Alt%201%29.rom?download=true
Becky (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Becky%20%28Japan%29%20%28Alt%202%29.rom?download=true
Becky (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Becky%20%28Japan%29.rom?download=true
Bee & Flower (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bee%20%26%20Flower%20%28Japan%29%20%28Alt%201%29.rom?download=true
Bee & Flower (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bee%20%26%20Flower%20%28Japan%29%20%28Alt%202%29.rom?download=true
Bee & Flower (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bee%20%26%20Flower%20%28Japan%29.rom?download=true
Bifamu (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bifamu%20%28Japan%29%20%28Alt%201%29.rom?download=true
Bifamu (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bifamu%20%28Japan%29.rom?download=true
Binary Land (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Binary%20Land%20%28Japan%29.rom?download=true
Black Onyx II, The - Search for the Fire Crystal (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Black%20Onyx%20II%2C%20The%20-%20Search%20for%20the%20Fire%20Crystal%20%28Japan%29.rom?download=true
Black Onyx, The (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Black%20Onyx%2C%20The%20%28Japan%29.rom?download=true
Blagger MSX (Europe) (Converted from Tape).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Blagger%20MSX%20%28Europe%29%20%28Converted%20from%20Tape%29.rom?download=true
Block Hole (Korea) (Unl).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Block%20Hole%20%28Korea%29%20%28Unl%29.rom?download=true
Blockade Runner (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Blockade%20Runner%20%28Japan%29.rom?download=true
Boggy '84 (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boggy%20%2784%20%28Japan%29%20%28Alt%201%29.rom?download=true
Boggy '84 (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boggy%20%2784%20%28Japan%29%20%28Alt%202%29.rom?download=true
Boggy '84 (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boggy%20%2784%20%28Japan%29.rom?download=true
Boing Boing (Spain).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boing%20Boing%20%28Spain%29.rom?download=true
Bokosuka Wars (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bokosuka%20Wars%20%28Japan%29%20%28Alt%201%29.rom?download=true
Bokosuka Wars (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bokosuka%20Wars%20%28Japan%29.rom?download=true
Bomber King (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bomber%20King%20%28Japan%29.rom?download=true
Bomber Man (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bomber%20Man%20%28Japan%29.rom?download=true
Bomber Man Special (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bomber%20Man%20Special%20%28Japan%29.rom?download=true
Boogie Woogi Jungle (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boogie%20Woogi%20Jungle%20%28Japan%29%20%28Alt%201%29.rom?download=true
Boogie Woogi Jungle (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boogie%20Woogi%20Jungle%20%28Japan%29%20%28Alt%202%29.rom?download=true
Boogie Woogi Jungle (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boogie%20Woogi%20Jungle%20%28Japan%29.rom?download=true
Boomerang (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boomerang%20%28Japan%29%20%28Alt%201%29.rom?download=true
