name;link;size;image_url;thumbnail_url;marquee_url
Vampire Killer (JP - EU) (En).mx2;https://archive.org/download/CentralArquivista-MSX2/Vampire Killer (JP - EU) (En).mx2;;https://db.hfsplay.fr/files/2023/10/05/Vampire-Killer-000_9PE9GRl.jpg;;
Victorious Nine 2 - Koukou Yakyuu Hen (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Victorious Nine 2 - Koukou Yakyuu Hen (JP).mx2;128.00 KB;;;
Wizardry (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Wizardry (JP).mx2;512.00 KB;;;
Woody Poco (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Woody Poco (JP) (Alt).mx2;;;;
Woody Poco (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Woody Poco (JP).mx2;;;;
Xevious - Fardraut Saga (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Xevious - Fardraut Saga (JP) (Alt).mx2;;https://db.hfsplay.fr/files/2019/08/18/Xevious_-_Fardraut_Densetsu_BHJksfp.png;https://db.hfsplay.fr/files/2018/10/06/4252b322-8c45-459d-bf5d-222d820078bc.png;
Xevious - Fardraut Saga (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Xevious - Fardraut Saga (JP).mx2;;https://db.hfsplay.fr/files/2019/08/18/Xevious_-_Fardraut_Densetsu_BHJksfp.png;https://db.hfsplay.fr/files/2018/10/06/4252b322-8c45-459d-bf5d-222d820078bc.png;
Yaksa (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Yaksa (JP).mx2;;;;
Yamamura Misa Suspense - Kyoto Ryuu no Tera Satsujinjiken (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Yamamura Misa Suspense - Kyoto Ryuu no Tera Satsujinjiken (JP).mx2;;https://db.hfsplay.fr/files/2019/09/13/7e789b15-8af6-4d99-8457-956e13549819_GDgERNI.jpg;;
Yuurei-kun (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Yuurei-kun (JP).mx2;;;;
Zanac Ex (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Zanac Ex (JP) (Alt).mx2;;;;
Zanac Ex (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Zanac Ex (JP).mx2;;;;
Zoids - Chuuou Tairiku no Tatakai (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Zoids - Chuuou Tairiku no Tatakai (JP).mx2;;https://db.hfsplay.fr/files/2019/08/29/Zoids_-_Battle_Legends_USA_5zvdvCd.jpg;https://db.hfsplay.fr/files/2019/08/29/Zoids_-_Battle_Legends_USA_1_3dSjLTM.png;
Zombie Hunter (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Zombie Hunter (JP).mx2;;https://db.hfsplay.fr/files/2020/10/20/tumblr_nsqgh7HjS41snhn1io1_1280_SZFWP2K.jpg;https://db.hfsplay.fr/files/2020/10/20/tumblr_nsqgh7HjS41snhn1io1_1280_SZFWP2K.jpg;https://db.hfsplay.fr/files/2020/10/20/tumblr_nsqgh7HjS41snhn1io1_1280_SZFWP2K.jpg
Zukkoke Yajikita Onmitsu Douchuu (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Zukkoke Yajikita Onmitsu Douchuu (JP) (Alt).mx2;;;;
Zukkoke Yajikita Onmitsu Douchuu (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Zukkoke Yajikita Onmitsu Douchuu (JP).mx2;;;;
